"holiday_date","is_active","message","emoji","holiday_name","id","created_date","updated_date","created_by_id","created_by","is_sample"
"2026-10-20","true","Happy Dussehra! Jai Shri Ram! Platform is closed today.","🏹","Dussehra (Vijayadashami)","69e390a035105f6a8617e0a6","2026-04-18T14:09:36.599000","2026-04-18T14:09:36.599000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-07-06","true","Platform is closed today for Muharram.","☪️","Muharram","69e390a035105f6a8617e0a1","2026-04-18T14:09:36.599000","2026-04-18T14:09:36.599000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-04-14","true","Happy Baisakhi & Tamil New Year! Platform is closed today.","🌾","Baisakhi / Tamil New Year","69e390a035105f6a8617e09e","2026-04-18T14:09:36.599000","2026-04-18T14:09:36.599000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-11-07","true","Happy Bhai Dooj! Platform is closed today.","🎉","Bhai Dooj","69e390a035105f6a8617e0aa","2026-04-18T14:09:36.599000","2026-04-18T14:09:36.599000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-06-07","true","Eid Mubarak! Happy Bakrid! Platform is closed today.","🐑","Eid-ul-Adha (Bakrid)","69e390a035105f6a8617e0a0","2026-04-18T14:09:36.599000","2026-04-18T14:09:36.599000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-11-06","true","Happy Govardhan Puja! Platform is closed today.","🙏","Govardhan Puja","69e390a035105f6a8617e0a9","2026-04-18T14:09:36.599000","2026-04-18T14:09:36.599000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-01-01","true","Happy New Year! Platform is closed today. Enjoy the celebrations!","🎉","New Year's Day","69e390a035105f6a8617e094","2026-04-18T14:09:36.598000","2026-04-18T14:09:36.598000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-02-26","true","Happy Maha Shivratri! Platform is closed today. Har Har Mahadev!","🕉️","Maha Shivratri","69e390a035105f6a8617e097","2026-04-18T14:09:36.598000","2026-04-18T14:09:36.598000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-01-26","true","Happy Republic Day! Jai Hind! Platform is closed today.","🇮🇳","Republic Day","69e390a035105f6a8617e096","2026-04-18T14:09:36.598000","2026-04-18T14:09:36.598000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-04-06","true","Happy Mahavir Jayanti! Platform is closed today.","🙏","Mahavir Jayanti","69e390a035105f6a8617e09c","2026-04-18T14:09:36.598000","2026-04-18T14:09:36.598000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-03-31","true","Eid Mubarak! Platform is closed today. Enjoy the celebrations!","☪️","Eid-ul-Fitr","69e390a035105f6a8617e09a","2026-04-18T14:09:36.598000","2026-04-18T14:09:36.598000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-03-30","true","Happy Ram Navami! Platform is closed today. Jai Shri Ram!","🙏","Ram Navami","69e390a035105f6a8617e099","2026-04-18T14:09:36.598000","2026-04-18T14:09:36.598000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-01-14","true","Happy Makar Sankranti & Pongal! Platform is closed today.","🪁","Makar Sankranti / Pongal","69e390a035105f6a8617e095","2026-04-18T14:09:36.598000","2026-04-18T14:09:36.598000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-03-20","true","Happy Holi! Platform is closed today. Enjoy the festival of colors!","🎨","Holi","69e390a035105f6a8617e098","2026-04-18T14:09:36.598000","2026-04-18T14:09:36.598000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
"2026-04-02","true","Good Friday. Platform is closed today.","✝️","Good Friday","69e390a035105f6a8617e09b","2026-04-18T14:09:36.598000","2026-04-18T14:09:36.598000","69c78a963cd6683d792802fc","tiwariutsav108@gmail.com","false"
